Index,Sample,Component,Expected,Obtained,AbsError,RelError
6,3,Real,5.151975401,-nan,nan,nan
7,3,Imag,17.91456581,-nan,nan,nan
8,4,Real,11.2237911,-nan,nan,nan
9,4,Imag,17.15171055,-nan,nan,nan
10,5,Real,-0.1860393133,-nan,nan,nan
11,5,Imag,1.740667749,-nan,nan,nan
12,6,Real,0.07738996097,nan,nan,nan
13,6,Imag,5.68466123,-nan,nan,nan
14,7,Real,9.149130172,-nan,nan,nan
15,7,Imag,2.645262207,-nan,nan,nan
16,8,Real,11.96353633,-nan,nan,nan
17,8,Imag,3.835159509,-nan,nan,nan
18,9,Real,5.342783143,-nan,nan,nan
19,9,Imag,-3.87232433,-nan,nan,nan
20,10,Real,0.2012230043,-nan,nan,nan
21,10,Imag,23.25267651,-nan,nan,nan
22,11,Real,12.09109906,-nan,nan,nan
23,11,Imag,4.295331931,-nan,nan,nan
24,12,Real,1.767991207,-nan,nan,nan
25,12,Imag,3.637080017,-nan,nan,nan
26,13,Real,3.952079119,-nan,nan,nan
27,13,Imag,-5.941851904,-nan,nan,nan
28,14,Real,1.417322399,-nan,nan,nan
29,14,Imag,-3.898940518,-nan,nan,nan
30,15,Real,6.957409201,nan,nan,nan
31,15,Imag,-0.3249942553,-nan,nan,nan
32,16,Real,9.737739653,-nan,nan,nan
33,16,Imag,9.757652605,-nan,nan,nan
34,17,Real,10.8372321,-nan,nan,nan
35,17,Imag,6.706695209,-nan,nan,nan
36,18,Real,-0.792014111,-nan,nan,nan
37,18,Imag,5.905454269,-nan,nan,nan
38,19,Real,14.43906032,-nan,nan,nan
39,19,Imag,20.06391862,nan,nan,nan
40,20,Real,18.64467368,-nan,nan,nan
41,20,Imag,14.35713159,-nan,nan,nan
42,21,Real,1.270213899,-nan,nan,nan
43,21,Imag,-3.213626814,-nan,nan,nan
44,22,Real,0.7153913661,nan,nan,nan
45,22,Imag,-7.068671494,-nan,nan,nan
46,23,Real,-7.368123162,-nan,nan,nan
47,23,Imag,1.275226765,-nan,nan,nan
48,24,Real,6.007455708,-nan,nan,nan
49,24,Imag,-1.286350562,-nan,nan,nan
50,25,Real,12.95951163,nan,nan,nan
51,25,Imag,5.356453108,-nan,nan,nan
52,26,Real,-5.649163076,-nan,nan,nan
53,26,Imag,8.641052004,-nan,nan,nan
54,27,Real,0.631937402,-nan,nan,nan
55,27,Imag,-6.658588678,-nan,nan,nan
56,28,Real,2.066858664,nan,nan,nan
57,28,Imag,-5.049007597,-nan,nan,nan
58,29,Real,3.785416188,-nan,nan,nan
59,29,Imag,3.728932503,-nan,nan,nan
60,30,Real,-5.037901906,-nan,nan,nan
61,30,Imag,11.0280697,-nan,nan,nan
62,31,Real,18.18530707,-nan,nan,nan
63,31,Imag,0.7916056303,nan,nan,nan
64,32,Real,-6.390489376,-nan,nan,nan
65,32,Imag,-4.187884763,-nan,nan,nan
66,33,Real,-0.3537652755,-nan,nan,nan
67,33,Imag,-2.411642046,-nan,nan,nan
68,34,Real,-21.71237597,-nan,nan,nan
69,34,Imag,4.344318605,-nan,nan,nan
70,35,Real,7.297875196,-nan,nan,nan
71,35,Imag,22.39790147,-nan,nan,nan
72,36,Real,0.6840442555,-nan,nan,nan
73,36,Imag,2.66980346,-nan,nan,nan
74,37,Real,-4.66879291,-nan,nan,nan
75,37,Imag,-3.372551329,-nan,nan,nan
76,38,Real,21.89944547,-nan,nan,nan
