Index,Sample,Component,Expected,Obtained,AbsError,RelError
0,0,Real,-2.185938954,-2.185938835,1.192092896e-07,5.453459225e-08
1,0,Imag,-2.108452022,-2.108452082,5.960464478e-08,2.826938633e-08
2,1,Real,3.831362447,5.37619257,1.544830122,0.4032064686
3,1,Imag,9.600301308,9.141861916,0.4584393926,0.04775260462
4,2,Real,3.550504006,4.69033432,1.139830315,0.3210333836
5,2,Imag,2.256803707,-2.552672148,4.809475855,2.131100653
6,3,Real,8.436695324,-0.509822309,8.946517633,1.060429148
7,3,Imag,0.9271626968,2.847247601,1.920084904,2.070925535
8,4,Real,2.662517079,2.662517309,2.30058665e-07,8.640645606e-08
9,4,Imag,3.843751521,3.843751431,9.01765902e-08,2.346056703e-08
10,5,Real,13.39096339,13.99697304,0.6060096441,0.04525511916
11,5,Imag,3.573530181,1.807745099,1.765785082,0.4941290524
12,6,Real,0.1448843927,-3.558694363,3.703578755,25.56230306
13,6,Imag,3.501061132,2.946994066,0.5540670654,0.1582568954
14,7,Real,-2.27754797,-2.302123308,0.02457533778,0.01079026133
15,7,Imag,-1.528008016,1.587603211,3.115611227,2.039001887
16,8,Real,1.702397476,1.702397466,9.962542347e-09,5.852065977e-09
17,8,Imag,-6.884683566,-6.884682655,9.102387679e-07,1.32212143e-07
18,9,Real,5.244119702,6.38047266,1.136352958,0.2166908885
19,9,Imag,8.782594175,8.175018311,0.6075758648,0.06917954452
20,10,Real,4.364430673,7.910881996,3.546451323,0.8125805148
21,10,Imag,1.333773102,-2.727416992,4.061190094,3.044888286
22,11,Real,1.097761921,2.004772902,0.9070109805,0.8262365118
23,11,Imag,8.356564239,-6.292523384,14.64908762,1.753003651
24,12,Real,0.541867015,0.5418667793,2.356612119e-07,4.349059924e-07
25,12,Imag,5.850614341,5.850615025,6.837656192e-07,1.168707386e-07
26,13,Real,3.627298706,3.399647713,0.2276509933,0.06276047597
27,13,Imag,0.3113267469,0.1831459999,0.128180747,0.4117241717
28,14,Real,-1.332143317,-3.104865074,1.772721757,1.33072901
29,14,Imag,-4.46328166,2.658877134,7.122158795,1.595722461
30,15,Real,7.315475842,0.4234895706,6.891986271,0.9421104546
31,15,Imag,0.03544121696,-2.685307026,2.720748243,76.76791251
32,16,Real,4.690335214,-0.5768963099,5.267231524,1.122996819
33,16,Imag,-2.552672148,8.327085495,10.87975764,4.26210536
34,17,Real,-0.6200024301,-2.246251583,1.626249153,2.622972224
35,17,Imag,1.786141293,-0.4928506613,2.278991954,1.275930389
36,18,Real,-1.561523839,-1.57393539,0.01241155052,0.007948358014
37,18,Imag,-2.423320303,1.363678694,3.786998996,1.56273151
38,19,Real,-6.223417549,6.315404892,12.53882244,2.014780841
39,19,Imag,-3.244494616,1.835962653,5.080457269,1.565870149
40,20,Real,-3.558694828,-1.679859281,1.878835547,0.5279563543
41,20,Imag,2.946993999,-8.758420944,11.70541494,3.971984656
42,21,Real,-2.879987019,0.3866298199,3.266616839,1.13424707
43,21,Imag,0.003961993971,-3.645741224,3.649703218,921.1783876
44,22,Real,5.809854494,2.26183033,3.548024164,0.6106907097
